,rat,day,perf_change
211,BP11,37,-0.012414056531703577
212,BP11,38,0.07118226600985222
213,BP11,39,-0.09039099845387877
214,BP11,40,0.09408968482497904
215,BP11,41,-0.031001221001221158
216,BP11,42,0.07373931623931629
217,BP11,43,-0.3093162393162393
218,BP11,44,0.2464158064158063
219,BP11,45,-0.18653742392872819
220,BP11,46,0.19149926033793307
221,BP11,47,0.08036283891547058
222,BP11,48,-0.08210678210678224
223,BP11,49,0.04192914365328171
224,BP11,50,-0.013285565009702904
225,BP11,51,0.0027056277056276556
226,BP11,52,-0.05119047619047623
227,BP13,1,
228,BP13,2,0.1071428571428572
229,BP13,3,0.34424603174603163
230,BP13,4,-0.024603174603174516
231,BP13,5,-0.04428571428571426
232,BP13,6,0.020909090909090766
233,BP13,7,-0.10678210678210664
234,BP13,8,0.13560985797827896
235,BP13,9,-0.13451516722841583
236,BP13,10,0.16862447896930655
237,BP13,11,0.010439560439560513
238,BP13,12,-0.022393822393822482
239,BP13,13,0.06644144144144137
240,BP13,14,0.04166666666666674
241,BP13,15,-0.22916666666666663
242,BP13,16,0.12202380952380953
243,BP13,17,0.018677559000139565
244,BP13,18,0.017036726714146022
245,BP13,19,-0.09582166199813247
246,BP13,20,-0.0198655260574766
247,BP13,21,0.056131777790816684
248,BP13,22,-0.013496537787155538
249,BP13,23,0.051094738594738565
250,BP13,24,-0.005906567632573911
251,BP13,25,-0.11796955624354988
252,BP13,26,0.04424121200436981
253,BP13,27,0.014366846603688699
254,BP13,28,0.009209401709401766
255,BP13,29,0.07003267973856209
256,BP13,30,-0.05031961502549742
257,BP14,1,
258,BP14,2,0.0
259,BP14,3,0.21250000000000002
260,BP14,4,0.13988095238095233
261,BP14,5,-0.12994086523498283
262,BP14,6,-0.027568292274174566
263,BP14,7,-0.024038461538461675
264,BP14,8,0.11626344086021512
265,BP14,9,-0.028763440860214984
266,BP14,10,-0.008333333333333415
267,BP14,11,0.0071428571428572285
268,BP14,12,0.03571428571428559
269,BP14,13,0.023809523809523947
270,BP14,14,-0.09444444444444444
271,BP14,15,-0.3222222222222223
272,BP14,16,0.33333333333333326
273,BP14,17,0.12121212121212133
274,BP14,18,-0.0071770334928229484
275,BP14,19,-0.22236842105263166
276,BP14,20,0.14166666666666672
277,BP14,21,-0.2333333333333334
278,BP15,1,
279,BP15,2,0.1816194331983806
280,BP15,3,0.07833333333333325
281,BP15,4,-0.16602564102564088
282,BP15,5,0.012991846862814516
283,BP15,6,0.01550465663368894
284,BP15,7,0.09780045535859494
285,BP15,8,-0.013693470389541051
286,BP15,9,-0.0851044174882255
287,BP15,10,0.019067917021881042
288,BP15,11,0.021028701335606748
289,BP15,12,-0.006721176448812649
290,BP15,13,0.06216171015021599
291,BP15,14,-0.09759499759499757
292,BP15,15,0.040866219127088654
293,BP15,16,0.0037595498407855255
294,BP15,17,-0.04722317156527678
295,BP15,18,0.0679653679653679
296,BP15,19,-0.13772879653213488
297,BP15,20,0.07553664509513225
298,BP15,21,-0.061707499636561414
299,BP15,22,0.13460947900307163
300,BP15,23,-0.06630145852113811
301,BP15,24,0.04766414141414144
302,BP15,25,0.05355456741326303
303,BP15,26,-0.015893025523780024
304,BP15,27,-0.03067755365549485
305,BP16,1,
306,BP16,2,0.03947368421052633
307,BP16,3,0.14802631578947367
308,BP16,4,0.05654761904761896
309,BP16,5,-0.09962406015037584
310,BP16,6,0.017822241279591422
311,BP16,7,-0.024297082228116662
312,BP16,8,0.11473945409429287
313,BP16,9,0.05500413564929685
314,BP16,10,-0.017369727047146344
315,BP16,11,-0.0031859816806054653
316,BP16,12,0.04619673436877747
317,BP16,13,-0.14665750915750908
318,BP16,14,0.0916738490267901
319,BP16,15,-0.03347787833081939
320,BP16,16,0.04498327759197318
321,BP16,17,-0.06026863739346211
322,BP16,18,0.09374689826302729
323,BP16,19,-0.04249999999999998
324,BP19,1,
325,BP19,2,-0.125
326,BP19,3,0.010714285714285676
327,BP19,4,0.03340336134453781
328,BP19,5,0.20588235294117652
329,BP19,6,-0.15816993464052287
330,BP19,7,0.16261437908496723
331,BP19,8,-0.12693248272195634
332,BP19,9,0.06798493268744987
333,BP19,10,0.1111003278122843
334,BP19,11,-0.04097483291562243
335,BP19,12,0.019864054074580362
336,BP19,13,-0.14745734285207968
337,BP19,14,0.03159809245335565
338,BP19,15,-0.07442632850241548
339,BP19,16,0.08231599752792051
340,BP19,17,-0.019736541641828476
341,BP19,18,0.027603277517465274
342,BP19,19,0.022104324821716093
343,BP19,20,0.03152722880983749
344,BP19,21,-0.007887700534759401
345,BP19,22,-0.020016339869280975
346,BP19,23,-0.05498366013071898
347,BP19,24,0.12190673705379584
348,BP19,25,-0.10184158978276625
349,BP19,26,0.010763923487708604
350,BP19,27,-0.049217651236301285
351,BP19,28,0.13976442330481254
352,BP19,29,-0.03511198945981553
353,BP19,30,-0.013511994002998517
354,BP19,31,0.044539661987188284
355,BP19,32,0.0008729666658054969
356,BP19,33,0.021730788274905932
357,BP19,34,-0.1051385475138672
358,BP19,35,0.056398088411565905
359,BP19,36,-0.01632988721804507
360,BP19,37,-0.06987283549783552
361,BP19,38,0.03704910951621476
362,BP19,39,0.023891547049441852
363,BP19,40,0.019061669324827224
364,BP19,41,0.03336257309941515
365,BP19,42,0.014841269841269877
366,BP21,1,
367,BP21,2,0.21291208791208793
368,BP21,3,0.06208791208791209
369,BP21,4,0.1785714285714285
370,BP21,5,0.004761904761904745
371,BP21,6,-0.1314102564102564
372,BP21,7,0.08676739926739929
373,BP21,8,0.055183041596085114
374,BP21,9,-0.22769704719832595
375,BP21,10,0.36382352941176466
376,BP21,11,-0.046666666666666634
377,BP21,12,-0.1843137254901961
378,BP21,13,0.0919616331381038
379,BP21,14,-0.07325248281130636
380,BP21,15,0.05601851851851847
381,BP21,16,-0.0748366013071895
382,BP21,17,-0.03224400871459687
383,BP21,18,-0.0469298245614036
384,BP21,19,0.17666838665290674
385,BP21,20,-0.12091503267973847
386,BP21,21,0.03632798573975027
387,BP21,22,-0.07310565977232641
388,BP21,23,0.20589287255953925
389,BP21,24,-0.21097966361124254
390,BP21,25,0.25961472308221534
391,BP21,26,-0.09501270143684992
392,BP21,27,0.07468891402714917
393,BP21,28,-0.1274621212121212
394,BP21,29,0.12281468531468542
395,BP21,30,-0.09134615384615385
396,BP21,31,0.05288461538461542
397,BP21,32,-0.017307692307692357
398,BP21,33,-0.16714641997149748
399,BP21,34,-0.03063496530988785
400,BP21,35,0.1634063852813853
401,BP21,36,-0.08139297385620925
402,BP21,37,0.07388485697309233
403,BP21,38,0.09067648038236276
404,BP21,39,-0.08727016447604685
405,BP21,40,0.03241619491619496
406,BP21,41,-0.08491161616161613
407,BP21,42,0.007318376068376042
408,BP21,43,0.0729395604395604
409,BP21,44,0.030654761904761907
410,BP21,45,-0.21209733893557425
411,BP21,46,0.03738633134413194
412,BP21,47,0.13155624568668045
413,BP21,48,0.06715367965367958
414,BP21,49,-0.04185606060606062
415,BP21,50,0.07796717171717182
416,BP21,51,-0.18607156732156738
417,BP21,52,0.2256639194139195
418,BP21,53,-0.017857142857142905
419,BP22,1,
420,BP22,2,0.2544642857142857
421,BP22,3,-0.08125000000000004
422,BP22,4,0.1907051282051282
423,BP22,5,0.1117948717948718
424,BP22,6,-0.06192118226600973
425,BP22,7,0.02299645108321413
426,BP22,8,-0.09323213156230226
427,BP22,9,0.05625942684766205
428,BP22,10,0.09874573311105805
429,BP22,11,-0.08471064539175976
430,BP22,12,-0.10414775283196342
431,BP22,13,0.08647376015797059
432,BP22,14,-0.013872750056960426
433,BP22,15,-0.2981254856254857
434,BP22,16,0.3271298146298146
435,BP22,17,-0.3115620490620491
436,BP22,18,0.25888347763347763
437,BP22,19,0.031237100103199134
438,BP22,20,0.068640350877193
439,BP22,21,-0.05334967320261441
440,BP22,22,-0.030483405483405335
