,rat,day,trial_type,perf_change
615,BP10,24,3,8.833333333333343
616,BP10,25,3,7.454545454545453
617,BP10,26,3,-15.454545454545453
618,BP10,27,3,-2.2222222222222143
619,BP10,34,3,-1.5873015873015959
620,BP10,35,3,9.103641456582636
621,BP10,36,3,-23.225152129817445
622,BP10,37,3,3.148425787106447
623,BP10,38,3,-15.217391304347828
624,BP10,39,3,-6.25
625,BP10,40,3,6.25
626,BP10,41,3,19.230769230769226
627,BP10,43,3,25.641025641025635
628,BP10,44,3,-4.246794871794862
629,BP10,45,3,9.375
630,BP10,46,3,-8.695652173913047
631,BP10,7,4,62.91463414634146
632,BP10,8,4,4.442508710801398
633,BP10,9,4,24.14285714285714
634,BP10,10,4,-6.8148148148148096
635,BP10,11,4,-7.407407407407405
636,BP10,12,4,-11.111111111111128
637,BP10,13,4,-7.692307692307679
638,BP10,14,4,7.692307692307679
639,BP10,20,4,-32.29166666666666
640,BP10,21,4,38.95833333333333
641,BP10,22,4,5.833333333333329
642,BP10,23,4,-4.166666666666657
643,BP10,24,4,-31.0
644,BP10,25,4,37.81818181818183
645,BP10,26,4,2.1818181818181728
646,BP10,27,4,-10.923076923076934
647,BP10,36,4,-12.362637362637358
648,BP10,37,4,-1.6233766233766147
649,BP10,38,4,12.909090909090907
650,BP10,39,4,-0.125
651,BP10,40,4,-9.375
652,BP10,46,4,5.357142857142861
653,BP10,11,5,36.03846153846153
654,BP10,12,5,22.836538461538467
655,BP10,13,5,16.48706896551724
656,BP10,14,5,-14.571746384872078
657,BP10,20,5,26.20967741935484
658,BP10,21,5,5.833333333333329
659,BP10,22,5,2.500000000000014
660,BP10,23,5,-4.166666666666686
661,BP10,24,5,-8.333333333333314
662,BP10,25,5,11.904761904761884
663,BP10,26,5,0.7619047619047734
664,BP10,27,5,4.0
665,BP11,42,0,74.5
666,BP11,43,0,-25.0
667,BP11,44,0,21.42857142857143
668,BP11,45,0,8.57142857142857
669,BP11,1,1,49.5
670,BP11,2,1,0.0
671,BP11,3,1,25.0
672,BP11,4,1,-8.333333333333343
673,BP11,5,1,33.33333333333334
674,BP11,6,1,-16.666666666666657
675,BP11,7,1,16.666666666666657
676,BP11,8,1,-20.0
677,BP11,9,1,11.666666666666657
678,BP11,10,1,8.333333333333343
679,BP11,11,1,0.0
680,BP11,12,1,0.0
681,BP11,13,1,0.0
682,BP11,14,1,0.0
683,BP11,15,1,0.0
684,BP11,16,1,0.0
685,BP11,17,1,0.0
686,BP11,18,1,0.0
687,BP11,19,1,0.0
688,BP11,20,1,-10.526315789473685
689,BP11,21,1,10.526315789473685
690,BP11,22,1,-6.666666666666671
691,BP11,23,1,6.666666666666671
692,BP11,24,1,-15.384615384615387
693,BP11,25,1,8.241758241758248
694,BP11,26,1,-11.607142857142861
695,BP11,27,1,18.75
696,BP11,28,1,0.0
697,BP11,30,1,0.0
698,BP11,31,1,-7.142857142857139
699,BP11,32,1,7.142857142857139
700,BP11,33,1,0.0
701,BP11,34,1,-7.692307692307693
702,BP11,35,1,-11.057692307692307
