,rat,day,trial_type,total_trials,correct_trials
1518,BP21,27,4,16.0,14.0
1519,BP21,18,1,20.0,14.0
1520,BP21,18,2,24.0,15.0
1521,BP21,18,3,19.0,13.0
1522,BP21,20,1,17.0,5.0
1523,BP21,20,2,17.0,15.0
1524,BP21,20,3,18.0,18.0
1525,BP21,16,1,24.0,14.0
1526,BP21,16,2,17.0,16.0
1527,BP21,16,3,18.0,13.0
1528,BP21,29,1,12.0,10.0
1529,BP21,29,2,12.0,12.0
1530,BP21,29,3,13.0,12.0
1531,BP21,29,4,12.0,11.0
1532,BP21,11,1,24.0,22.0
1533,BP21,11,2,20.0,19.0
1534,BP21,45,1,17.0,13.0
1535,BP21,45,2,4.0,3.0
1536,BP21,45,3,3.0,2.0
1537,BP21,45,4,4.0,2.0
1538,BP21,42,1,26.0,16.0
1539,BP21,42,2,12.0,10.0
1540,BP21,42,3,12.0,11.0
1541,BP21,42,4,12.0,9.0
1542,BP21,10,1,27.0,27.0
1543,BP21,10,2,25.0,24.0
1544,BP21,17,1,24.0,10.0
1545,BP21,17,2,15.0,12.0
1546,BP21,17,3,15.0,14.0
1547,BP21,28,1,11.0,10.0
1548,BP21,28,2,11.0,9.0
1549,BP21,28,3,11.0,10.0
1550,BP21,28,4,11.0,6.0
1551,BP21,21,1,25.0,21.0
1552,BP21,21,2,11.0,6.0
1553,BP21,21,3,10.0,9.0
1554,BP21,26,1,17.0,14.0
1555,BP21,26,2,16.0,14.0
1556,BP21,26,3,13.0,11.0
1557,BP21,19,1,17.0,15.0
1558,BP21,19,2,17.0,14.0
1559,BP21,19,3,18.0,15.0
1560,BP21,43,1,28.0,17.0
1561,BP21,43,2,15.0,12.0
1562,BP21,43,3,15.0,15.0
1563,BP21,43,4,15.0,15.0
1564,BP21,44,1,21.0,19.0
1565,BP21,44,2,8.0,6.0
1566,BP21,44,3,8.0,8.0
1567,BP21,44,4,8.0,7.0
1568,BP19,38,1,27.0,21.0
1569,BP19,38,2,19.0,18.0
1570,BP19,38,3,25.0,18.0
1571,BP19,38,4,19.0,18.0
1572,BP19,31,1,13.0,13.0
1573,BP19,31,2,13.0,13.0
1574,BP19,31,3,23.0,17.0
1575,BP19,31,4,22.0,21.0
1576,BP19,36,1,14.0,14.0
1577,BP19,36,2,14.0,13.0
1578,BP19,36,3,18.0,15.0
1579,BP19,36,4,21.0,16.0
1580,BP19,37,1,24.0,15.0
1581,BP19,37,2,18.0,18.0
1582,BP19,37,3,22.0,15.0
1583,BP19,37,4,16.0,15.0
1584,BP19,30,1,20.0,19.0
1585,BP19,30,2,20.0,18.0
1586,BP19,30,3,30.0,21.0
1587,BP19,30,4,29.0,28.0
1588,BP19,39,1,22.0,19.0
1589,BP19,39,2,16.0,16.0
1590,BP19,39,3,25.0,17.0
1591,BP19,39,4,18.0,17.0
1592,BP19,4,1,10.0,8.0
1593,BP19,4,2,17.0,10.0
1594,BP19,3,1,4.0,3.0
1595,BP19,3,2,7.0,4.0
1596,BP19,2,1,12.0,6.0
1597,BP19,2,2,5.0,4.0
1598,BP19,5,1,12.0,12.0
1599,BP19,5,2,10.0,8.0
1600,BP19,41,1,19.0,19.0
1601,BP19,41,2,19.0,19.0
1602,BP19,41,3,27.0,21.0
1603,BP19,41,4,25.0,23.0
1604,BP19,23,1,20.0,19.0
1605,BP19,23,2,17.0,16.0
1606,BP19,23,3,24.0,16.0
1607,BP19,23,4,24.0,16.0
1608,BP19,24,1,18.0,17.0
1609,BP19,24,2,18.0,18.0
1610,BP19,24,3,26.0,21.0
1611,BP19,24,4,25.0,24.0
1612,BP19,12,1,22.0,20.0
1613,BP19,12,2,20.0,19.0
1614,BP19,12,3,19.0,18.0
1615,BP19,15,1,18.0,16.0
1616,BP19,15,2,19.0,14.0
1617,BP19,15,3,23.0,12.0
1618,BP19,15,4,18.0,15.0
1619,BP19,40,1,14.0,14.0
1620,BP19,40,2,17.0,17.0
1621,BP19,40,3,18.0,13.0
1622,BP19,40,4,19.0,16.0
1623,BP19,14,1,16.0,14.0
1624,BP19,14,2,15.0,15.0
1625,BP19,14,3,19.0,14.0
1626,BP19,14,4,21.0,14.0
1627,BP19,13,1,16.0,16.0
1628,BP19,13,2,24.0,18.0
1629,BP19,13,3,21.0,17.0
1630,BP19,13,4,27.0,16.0
1631,BP19,25,1,17.0,14.0
1632,BP19,25,2,18.0,17.0
1633,BP19,25,3,22.0,16.0
1634,BP19,25,4,21.0,17.0
1635,BP19,22,1,18.0,17.0
1636,BP19,22,2,18.0,18.0
1637,BP19,22,3,20.0,15.0
1638,BP19,22,4,20.0,15.0
1639,BP19,35,1,17.0,17.0
1640,BP19,35,2,16.0,15.0
1641,BP19,35,3,19.0,16.0
1642,BP19,35,4,21.0,17.0
1643,BP19,32,1,15.0,15.0
1644,BP19,32,2,17.0,17.0
1645,BP19,32,3,27.0,22.0
1646,BP19,32,4,17.0,15.0
1647,BP19,33,1,21.0,21.0
1648,BP19,33,2,22.0,22.0
1649,BP19,33,3,32.0,28.0
1650,BP19,33,4,22.0,20.0
1651,BP19,34,1,13.0,13.0
1652,BP19,34,2,17.0,16.0
1653,BP19,34,3,23.0,13.0
1654,BP19,34,4,14.0,12.0
1655,BP19,7,1,25.0,23.0
1656,BP19,7,2,27.0,24.0
1657,BP19,9,1,23.0,20.0
1658,BP19,9,2,28.0,23.0
1659,BP19,8,1,19.0,14.0
1660,BP19,8,2,22.0,18.0
1661,BP19,6,1,17.0,12.0
1662,BP19,6,2,18.0,14.0
1663,BP19,1,1,4.0,3.0
1664,BP19,1,2,5.0,4.0
1665,BP19,27,1,19.0,17.0
1666,BP19,27,2,17.0,15.0
1667,BP19,27,3,29.0,20.0
1668,BP19,27,4,19.0,13.0
1669,BP19,18,1,16.0,16.0
1670,BP19,18,2,20.0,19.0
1671,BP19,18,3,27.0,17.0
1672,BP19,18,4,21.0,16.0
1673,BP19,20,1,23.0,23.0
1674,BP19,20,2,20.0,20.0
1675,BP19,20,3,33.0,20.0
1676,BP19,20,4,20.0,19.0
1677,BP19,16,1,17.0,16.0
1678,BP19,16,2,19.0,16.0
1679,BP19,16,3,21.0,15.0
1680,BP19,16,4,16.0,13.0
1681,BP19,29,1,15.0,15.0
1682,BP19,29,2,15.0,13.0
1683,BP19,29,3,24.0,20.0
1684,BP19,29,4,23.0,20.0
1685,BP19,11,1,18.0,18.0
1686,BP19,11,2,21.0,19.0
1687,BP19,11,3,19.0,16.0
1688,BP19,42,1,20.0,20.0
1689,BP19,42,2,21.0,21.0
1690,BP19,42,3,21.0,18.0
1691,BP19,42,4,20.0,18.0
1692,BP19,10,1,32.0,31.0
1693,BP19,10,2,36.0,34.0
1694,BP19,17,1,19.0,19.0
1695,BP19,17,2,19.0,15.0
1696,BP19,17,3,23.0,15.0
1697,BP19,17,4,19.0,15.0
1698,BP19,28,1,15.0,15.0
1699,BP19,28,2,15.0,14.0
1700,BP19,28,3,23.0,21.0
1701,BP19,28,4,22.0,19.0
1702,BP19,21,1,13.0,13.0
1703,BP19,21,2,17.0,16.0
1704,BP19,21,3,15.0,14.0
1705,BP19,21,4,20.0,13.0
1706,BP19,26,1,18.0,18.0
1707,BP19,26,2,19.0,19.0
1708,BP19,26,3,23.0,8.0
1709,BP19,26,4,22.0,22.0
1710,BP19,19,1,14.0,14.0
1711,BP19,19,2,18.0,17.0
1712,BP19,19,3,23.0,15.0
1713,BP19,19,4,18.0,15.0
1714,BP10,38,1,16.0,16.0
1715,BP10,38,2,20.0,18.0
1716,BP10,38,3,30.0,15.0
1717,BP10,38,4,25.0,18.0
1718,BP10,31,1,28.0,28.0
1719,BP10,31,2,32.0,29.0
1720,BP10,36,1,20.0,15.0
1721,BP10,36,2,17.0,17.0
1722,BP10,36,3,29.0,18.0
1723,BP10,36,4,28.0,17.0
1724,BP10,37,1,22.0,14.0
1725,BP10,37,2,18.0,16.0
1726,BP10,37,3,23.0,15.0
1727,BP10,37,4,22.0,13.0
1728,BP10,30,1,14.0,12.0
1729,BP10,30,2,16.0,12.0
1730,BP10,39,1,32.0,31.0
1731,BP10,39,2,32.0,18.0
1732,BP10,39,3,32.0,14.0
1733,BP10,39,4,32.0,23.0
1734,BP10,4,1,20.0,19.0
1735,BP10,4,2,15.0,15.0
1736,BP10,4,3,36.0,15.0
1737,BP10,3,1,28.0,28.0
1738,BP10,3,2,30.0,28.0
1739,BP10,2,1,30.0,29.0
1740,BP10,2,2,38.0,30.0
1741,BP10,5,1,28.0,27.0
1742,BP10,5,2,27.0,25.0
1743,BP10,5,3,37.0,24.0
1744,BP10,41,1,14.0,14.0
1745,BP10,41,2,18.0,15.0
1746,BP10,41,3,26.0,18.0
1747,BP10,46,1,29.0,21.0
1748,BP10,46,2,23.0,18.0
1749,BP10,46,3,23.0,21.0
1750,BP10,46,4,28.0,19.0
1751,BP10,23,1,24.0,21.0
1752,BP10,23,2,24.0,21.0
1753,BP10,23,3,24.0,19.0
1754,BP10,23,4,24.0,18.0
1755,BP10,23,5,24.0,22.0
1756,BP10,24,1,25.0,25.0
1757,BP10,24,2,25.0,9.0
1758,BP10,24,3,25.0,22.0
1759,BP10,24,4,25.0,11.0
1760,BP10,24,5,24.0,20.0
1761,BP10,12,1,19.0,19.0
1762,BP10,12,2,25.0,16.0
1763,BP10,12,3,33.0,18.0
1764,BP10,12,4,27.0,18.0
1765,BP10,12,5,32.0,19.0
1766,BP10,15,1,25.0,25.0
1767,BP10,15,2,35.0,26.0
1768,BP10,15,3,36.0,27.0
1769,BP10,40,1,33.0,31.0
1770,BP10,40,2,33.0,21.0
1771,BP10,40,3,32.0,16.0
1772,BP10,40,4,32.0,20.0
1773,BP10,14,1,22.0,22.0
1774,BP10,14,2,29.0,20.0
1775,BP10,14,3,38.0,20.0
1776,BP10,14,4,33.0,22.0
1777,BP10,14,5,31.0,19.0
1778,BP10,13,1,26.0,26.0
1779,BP10,13,2,42.0,23.0
1780,BP10,13,3,39.0,23.0
1781,BP10,13,4,39.0,23.0
1782,BP10,13,5,29.0,22.0
1783,BP10,25,1,22.0,19.0
1784,BP10,25,2,22.0,17.0
1785,BP10,25,3,22.0,21.0
1786,BP10,25,4,22.0,18.0
1787,BP10,25,5,21.0,20.0
1788,BP10,22,1,28.0,23.0
1789,BP10,22,2,28.0,23.0
1790,BP10,22,3,24.0,21.0
1791,BP10,22,4,24.0,19.0
1792,BP10,22,5,24.0,23.0
1793,BP10,35,1,33.0,33.0
1794,BP10,35,2,31.0,29.0
1795,BP10,35,3,34.0,29.0
1796,BP10,32,1,26.0,23.0
1797,BP10,32,2,22.0,21.0
1798,BP10,33,1,16.0,16.0
1799,BP10,33,2,19.0,18.0
1800,BP10,34,1,31.0,31.0
1801,BP10,34,2,33.0,32.0
1802,BP10,34,3,42.0,32.0
1803,BP10,7,1,31.0,23.0
1804,BP10,7,2,34.0,24.0
1805,BP10,7,3,29.0,26.0
1806,BP10,7,4,41.0,26.0
1807,BP10,9,1,26.0,22.0
1808,BP10,9,2,27.0,20.0
1809,BP10,9,3,23.0,20.0
1810,BP10,9,4,25.0,23.0
1811,BP10,8,1,26.0,22.0
1812,BP10,8,2,27.0,19.0
1813,BP10,8,3,20.0,18.0
1814,BP10,8,4,28.0,19.0
1815,BP10,6,1,31.0,30.0
1816,BP10,6,2,33.0,29.0
1817,BP10,6,3,37.0,33.0
1818,BP10,1,1,43.0,35.0
1819,BP10,1,2,59.0,33.0
1820,BP10,27,1,26.0,19.0
1821,BP10,27,2,27.0,22.0
1822,BP10,27,3,27.0,21.0
1823,BP10,27,4,26.0,19.0
1824,BP10,27,5,27.0,27.0
1825,BP10,18,1,55.0,55.0
1826,BP10,18,2,69.0,56.0
1827,BP10,20,1,32.0,31.0
1828,BP10,20,2,32.0,17.0
1829,BP10,20,3,31.0,25.0
1830,BP10,20,4,32.0,11.0
1831,BP10,20,5,32.0,28.0
1832,BP10,16,1,27.0,27.0
1833,BP10,16,2,34.0,26.0
1834,BP10,29,1,24.0,18.0
1835,BP10,29,2,26.0,17.0
1836,BP10,11,1,20.0,20.0
1837,BP10,11,2,37.0,17.0
1838,BP10,11,3,22.0,21.0
1839,BP10,11,4,27.0,21.0
1840,BP10,11,5,52.0,19.0
1841,BP10,45,1,36.0,32.0
1842,BP10,45,2,46.0,32.0
1843,BP10,45,3,34.0,34.0
1844,BP10,42,1,14.0,14.0
1845,BP10,42,2,15.0,11.0
1846,BP10,10,1,28.0,26.0
1847,BP10,10,2,34.0,25.0
1848,BP10,10,3,25.0,23.0
1849,BP10,10,4,27.0,23.0
1850,BP10,17,1,68.0,53.0
1851,BP10,17,2,69.0,53.0
1852,BP10,28,1,8.0,7.0
1853,BP10,28,2,8.0,4.0
1854,BP10,21,1,30.0,22.0
1855,BP10,21,2,30.0,24.0
1856,BP10,21,3,30.0,25.0
1857,BP10,21,4,30.0,22.0
1858,BP10,21,5,30.0,28.0
1859,BP10,26,1,25.0,23.0
1860,BP10,26,2,25.0,20.0
1861,BP10,26,3,25.0,20.0
1862,BP10,26,4,25.0,21.0
1863,BP10,26,5,25.0,24.0
1864,BP10,19,1,53.0,53.0
1865,BP10,19,2,76.0,52.0
1866,BP10,43,1,36.0,36.0
1867,BP10,43,2,42.0,39.0
1868,BP10,43,3,39.0,37.0
1869,BP10,44,1,33.0,27.0
1870,BP10,44,2,30.0,27.0
1871,BP10,44,3,32.0,29.0
1872,BP16,4,1,23.0,23.0
1873,BP16,4,2,28.0,23.0
1874,BP16,3,1,19.0,19.0
1875,BP16,3,2,24.0,17.0
1876,BP16,2,1,18.0,15.0
1877,BP16,2,2,19.0,11.0
1878,BP16,5,1,28.0,27.0
1879,BP16,5,2,38.0,25.0
1880,BP16,12,1,31.0,31.0
1881,BP16,12,2,28.0,28.0
1882,BP16,12,3,27.0,27.0
1883,BP16,15,1,23.0,23.0
1884,BP16,15,2,26.0,22.0
1885,BP16,15,3,25.0,20.0
1886,BP16,15,4,22.0,22.0
1887,BP16,14,1,19.0,19.0
1888,BP16,14,2,17.0,16.0
1889,BP16,14,3,18.0,16.0
1890,BP16,14,4,20.0,19.0
1891,BP16,13,1,20.0,20.0
1892,BP16,13,2,20.0,19.0
1893,BP16,13,3,21.0,17.0
1894,BP16,13,4,26.0,17.0
1895,BP16,7,1,25.0,21.0
1896,BP16,7,2,26.0,20.0
1897,BP16,9,1,40.0,40.0
1898,BP16,9,2,39.0,37.0
1899,BP16,8,1,29.0,29.0
1900,BP16,8,2,31.0,26.0
1901,BP16,6,1,29.0,28.0
1902,BP16,6,2,39.0,27.0
1903,BP16,1,1,9.0,7.0
1904,BP16,1,2,9.0,5.0
1905,BP16,18,1,24.0,24.0
1906,BP16,18,2,26.0,26.0
1907,BP16,18,3,26.0,26.0
1908,BP16,18,4,25.0,24.0
1909,BP16,16,1,24.0,24.0
1910,BP16,16,2,23.0,21.0
1911,BP16,16,3,23.0,21.0
1912,BP16,16,4,20.0,20.0
1913,BP16,11,1,31.0,29.0
1914,BP16,11,2,27.0,26.0
1915,BP16,11,3,27.0,26.0
1916,BP16,10,1,27.0,27.0
1917,BP16,10,2,29.0,29.0
1918,BP16,10,3,31.0,27.0
1919,BP16,17,1,26.0,26.0
1920,BP16,17,2,25.0,23.0
1921,BP16,17,3,26.0,24.0
1922,BP16,17,4,31.0,23.0
1923,BP16,19,1,19.0,19.0
1924,BP16,19,2,20.0,19.0
1925,BP16,19,3,22.0,22.0
1926,BP16,19,4,25.0,21.0
1927,BP11,38,1,22.0,22.0
1928,BP11,38,2,25.0,25.0
1929,BP11,38,3,35.0,21.0
1930,BP11,38,4,29.0,24.0
1931,BP11,31,1,14.0,13.0
1932,BP11,31,2,12.0,12.0
1933,BP11,31,3,21.0,13.0
1934,BP11,31,4,18.0,15.0
1935,BP11,36,1,4.0,4.0
1936,BP11,36,2,5.0,5.0
1937,BP11,36,3,6.0,4.0
1938,BP11,36,4,2.0,1.0
1939,BP11,37,1,11.0,11.0
1940,BP11,37,2,9.0,9.0
1941,BP11,37,3,14.0,8.0
1942,BP11,37,4,14.0,8.0
1943,BP11,30,1,20.0,20.0
1944,BP11,30,2,20.0,20.0
1945,BP11,30,3,29.0,21.0
1946,BP11,30,4,24.0,22.0
1947,BP11,39,1,22.0,13.0
1948,BP11,39,2,14.0,14.0
1949,BP11,39,3,17.0,12.0
1950,BP11,39,4,13.0,10.0
1951,BP11,52,1,14.0,13.0
1952,BP11,52,2,13.0,13.0
1953,BP11,52,3,20.0,10.0
1954,BP11,52,4,15.0,13.0
1955,BP11,4,1,6.0,4.0
1956,BP11,4,2,5.0,4.0
1957,BP11,3,1,4.0,3.0
1958,BP11,3,2,2.0,0.0
1959,BP11,2,1,4.0,2.0
1960,BP11,2,2,2.0,0.0
1961,BP11,5,1,7.0,7.0
1962,BP11,5,2,6.0,4.0
1963,BP11,41,1,9.0,9.0
1964,BP11,41,2,12.0,11.0
1965,BP11,41,3,18.0,10.0
1966,BP11,41,4,13.0,11.0
1967,BP11,46,1,13.0,13.0
1968,BP11,46,2,12.0,10.0
1969,BP11,46,3,19.0,12.0
1970,BP11,46,4,12.0,11.0
1971,BP11,48,1,10.0,8.0
1972,BP11,48,2,10.0,9.0
1973,BP11,48,3,28.0,22.0
1974,BP11,48,4,9.0,8.0
1975,BP11,23,1,32.0,32.0
1976,BP11,23,2,32.0,30.0
1977,BP11,23,3,30.0,30.0
1978,BP11,24,1,26.0,22.0
1979,BP11,24,2,23.0,22.0
1980,BP11,24,3,24.0,21.0
1981,BP11,24,4,35.0,19.0
1982,BP11,12,1,4.0,4.0
1983,BP11,12,2,4.0,3.0
1984,BP11,12,3,7.0,2.0
1985,BP11,15,1,16.0,16.0
1986,BP11,15,2,15.0,13.0
1987,BP11,15,3,23.0,13.0
1988,BP11,49,1,11.0,9.0
1989,BP11,49,2,11.0,11.0
1990,BP11,49,3,29.0,21.0
1991,BP11,49,4,11.0,11.0
1992,BP11,47,1,15.0,14.0
1993,BP11,47,2,15.0,12.0
1994,BP11,47,3,33.0,32.0
1995,BP11,47,4,16.0,16.0
1996,BP11,40,1,17.0,17.0
1997,BP11,40,2,21.0,20.0
1998,BP11,40,3,25.0,16.0
1999,BP11,40,4,20.0,17.0
2000,BP11,14,1,19.0,19.0
2001,BP11,14,2,20.0,18.0
2002,BP11,14,3,28.0,15.0
2003,BP11,13,1,15.0,15.0
2004,BP11,13,2,15.0,14.0
2005,BP11,13,3,28.0,15.0
2006,BP11,25,1,14.0,13.0
2007,BP11,25,2,15.0,15.0
2008,BP11,25,3,16.0,14.0
2009,BP11,25,4,22.0,13.0
2010,BP11,22,1,30.0,28.0
2011,BP11,22,2,26.0,25.0
2012,BP11,22,3,30.0,25.0
2013,BP11,50,1,21.0,17.0
2014,BP11,50,2,21.0,21.0
2015,BP11,50,3,33.0,24.0
2016,BP11,50,4,21.0,20.0
2017,BP11,35,1,16.0,13.0
2018,BP11,35,2,13.0,13.0
2019,BP11,35,3,20.0,14.0
2020,BP11,35,4,17.0,16.0
2021,BP11,32,1,11.0,11.0
2022,BP11,32,2,15.0,14.0
2023,BP11,32,3,19.0,12.0
2024,BP11,32,4,14.0,11.0
2025,BP11,51,1,19.0,19.0
2026,BP11,51,2,19.0,19.0
2027,BP11,51,3,30.0,15.0
2028,BP11,51,4,18.0,18.0
2029,BP11,33,1,15.0,15.0
2030,BP11,33,2,16.0,16.0
2031,BP11,33,3,20.0,15.0
2032,BP11,33,4,18.0,17.0
2033,BP11,34,1,13.0,12.0
2034,BP11,34,2,9.0,8.0
2035,BP11,34,3,14.0,8.0
2036,BP11,34,4,12.0,8.0
2037,BP11,7,1,8.0,8.0
2038,BP11,7,2,7.0,5.0
2039,BP11,9,1,12.0,11.0
2040,BP11,9,2,16.0,15.0
2041,BP11,8,1,5.0,4.0
2042,BP11,8,2,5.0,3.0
2043,BP11,6,1,6.0,5.0
2044,BP11,6,2,9.0,7.0
2045,BP11,1,1,4.0,2.0
2046,BP11,1,2,6.0,5.0
2047,BP11,27,1,16.0,16.0
2048,BP11,27,2,16.0,16.0
2049,BP11,27,3,17.0,15.0
2050,BP11,27,4,25.0,19.0
2051,BP11,18,1,19.0,19.0
2052,BP11,18,2,17.0,17.0
2053,BP11,18,3,30.0,20.0
2054,BP11,20,1,19.0,17.0
2055,BP11,20,2,22.0,20.0
2056,BP11,20,3,25.0,17.0
2057,BP11,16,1,16.0,16.0
2058,BP11,16,2,17.0,15.0
2059,BP11,16,3,33.0,13.0
2060,BP11,11,1,18.0,18.0
2061,BP11,11,2,20.0,18.0
2062,BP11,45,0,10.0,8.0
2063,BP11,45,1,9.0,7.0
2064,BP11,45,2,23.0,18.0
2065,BP11,45,3,11.0,10.0
2066,BP11,45,4,1.0,0.0
2067,BP11,42,0,12.0,9.0
2068,BP11,42,1,15.0,14.0
2069,BP11,42,2,30.0,27.0
2070,BP11,42,3,15.0,14.0
2071,BP11,42,4,1.0,1.0
2072,BP11,10,1,22.0,22.0
2073,BP11,10,2,22.0,20.0
2074,BP11,17,1,8.0,8.0
2075,BP11,17,2,7.0,5.0
2076,BP11,17,3,10.0,6.0
2077,BP11,28,1,9.0,9.0
2078,BP11,28,2,6.0,6.0
2079,BP11,28,3,12.0,6.0
2080,BP11,28,4,9.0,5.0
2081,BP11,21,1,28.0,28.0
2082,BP11,21,2,28.0,27.0
2083,BP11,21,3,37.0,27.0
2084,BP11,26,1,16.0,13.0
2085,BP11,26,2,11.0,10.0
2086,BP11,26,3,11.0,11.0
2087,BP11,26,4,19.0,10.0
2088,BP11,19,1,18.0,18.0
2089,BP11,19,2,19.0,19.0
2090,BP11,19,3,20.0,16.0
2091,BP11,43,0,8.0,4.0
2092,BP11,43,1,13.0,11.0
2093,BP11,43,2,18.0,14.0
2094,BP11,43,3,13.0,11.0
2095,BP11,43,4,1.0,0.0
2096,BP11,44,0,21.0,15.0
2097,BP11,44,1,20.0,14.0
2098,BP11,44,2,33.0,29.0
2099,BP11,44,3,22.0,20.0
2100,BP11,44,4,1.0,1.0
