,rat,day,trial_type,total_trials,correct_trials
344,BP09,9,1,24.0,24.0
345,BP09,9,2,21.0,21.0
346,BP09,9,3,44.0,22.0
347,BP09,9,4,45.0,21.0
348,BP09,9,5,23.0,23.0
349,BP09,8,1,24.0,23.0
350,BP09,8,2,22.0,21.0
351,BP09,8,3,30.0,22.0
352,BP09,8,4,40.0,21.0
353,BP09,8,5,25.0,25.0
354,BP09,6,1,33.0,33.0
355,BP09,6,2,35.0,35.0
356,BP09,6,3,41.0,31.0
357,BP09,6,4,44.0,33.0
358,BP09,1,1,37.0,36.0
359,BP09,1,2,50.0,37.0
360,BP09,27,1,14.0,11.0
361,BP09,27,2,14.0,12.0
362,BP09,18,1,19.0,19.0
363,BP09,18,2,20.0,20.0
364,BP09,18,3,40.0,31.0
365,BP09,18,4,40.0,20.0
366,BP09,18,5,20.0,20.0
367,BP09,20,3,5.0,4.0
368,BP09,20,4,19.0,14.0
369,BP09,16,1,19.0,18.0
370,BP09,16,2,20.0,20.0
371,BP09,16,3,40.0,29.0
372,BP09,16,4,39.0,34.0
373,BP09,16,5,20.0,20.0
374,BP09,29,1,15.0,15.0
375,BP09,29,2,14.0,14.0
376,BP09,11,1,25.0,25.0
377,BP09,11,2,27.0,26.0
378,BP09,11,3,37.0,23.0
379,BP09,11,4,37.0,23.0
380,BP09,11,5,24.0,24.0
381,BP09,10,1,27.0,27.0
382,BP09,10,2,24.0,24.0
383,BP09,10,3,38.0,25.0
384,BP09,10,4,40.0,24.0
385,BP09,10,5,25.0,24.0
386,BP09,17,1,22.0,22.0
387,BP09,17,2,22.0,22.0
388,BP09,17,3,42.0,33.0
389,BP09,17,4,42.0,25.0
390,BP09,17,5,22.0,22.0
391,BP09,28,1,16.0,14.0
392,BP09,28,2,16.0,13.0
393,BP09,21,3,5.0,4.0
394,BP09,21,4,11.0,5.0
395,BP09,26,1,3.0,3.0
396,BP09,26,2,6.0,4.0
397,BP09,19,1,11.0,11.0
398,BP09,19,2,11.0,10.0
399,BP09,19,3,23.0,16.0
400,BP09,19,4,47.0,25.0
401,BP09,19,5,23.0,23.0
402,BP07,4,1,30.0,30.0
403,BP07,4,2,32.0,31.0
404,BP07,3,1,24.0,24.0
405,BP07,3,2,26.0,20.0
406,BP07,2,1,14.0,13.0
407,BP07,2,2,17.0,11.0
408,BP07,5,1,23.0,22.0
409,BP07,5,2,23.0,22.0
410,BP07,5,3,36.0,24.0
411,BP07,23,1,10.0,10.0
412,BP07,23,2,7.0,7.0
413,BP07,23,3,8.0,7.0
414,BP07,23,4,11.0,10.0
415,BP07,23,5,8.0,8.0
416,BP07,24,1,15.0,15.0
417,BP07,24,2,16.0,16.0
418,BP07,24,3,17.0,15.0
419,BP07,24,4,18.0,16.0
420,BP07,24,5,15.0,15.0
421,BP07,12,1,17.0,17.0
422,BP07,12,2,24.0,17.0
423,BP07,12,3,15.0,15.0
424,BP07,12,4,22.0,16.0
425,BP07,14,1,31.0,22.0
426,BP07,14,2,23.0,21.0
427,BP07,14,3,23.0,22.0
428,BP07,14,4,23.0,22.0
429,BP07,13,1,26.0,26.0
430,BP07,13,2,26.0,23.0
431,BP07,13,3,24.0,23.0
432,BP07,13,4,31.0,22.0
433,BP07,25,1,18.0,17.0
434,BP07,25,2,17.0,17.0
435,BP07,25,3,18.0,14.0
436,BP07,25,4,19.0,15.0
437,BP07,25,5,15.0,15.0
438,BP07,22,1,16.0,16.0
439,BP07,22,2,17.0,16.0
440,BP07,22,3,16.0,15.0
441,BP07,22,4,17.0,15.0
442,BP07,22,5,19.0,16.0
443,BP07,7,1,30.0,29.0
444,BP07,7,2,38.0,29.0
445,BP07,7,3,37.0,30.0
446,BP07,9,1,8.0,8.0
447,BP07,9,2,12.0,12.0
448,BP07,8,1,35.0,26.0
449,BP07,8,2,33.0,25.0
450,BP07,8,3,33.0,24.0
451,BP07,6,1,20.0,20.0
