,rat,day,trial_type,days_since_new_arm,perf_change
267,BP14,11,2,10,0.014285714285714346
268,BP14,12,2,11,0.0714285714285714
269,BP14,13,2,12,0.04761904761904767
270,BP14,14,3,0,0.16666666666666663
271,BP14,15,3,1,-0.16666666666666663
272,BP14,16,2,2,0.6666666666666666
273,BP14,17,2,3,0.24242424242424243
274,BP14,18,2,4,-0.014354066985645897
275,BP14,19,3,5,-0.125
276,BP14,20,3,6,0.22499999999999998
277,BP14,21,3,7,-0.19999999999999996
278,BP15,1,2,0,-0.026315789473684237
279,BP15,2,2,1,0.3263157894736843
280,BP15,3,2,2,0.11666666666666659
281,BP15,4,2,3,-0.19871794871794868
282,BP15,5,2,4,-0.07509157509157505
283,BP15,6,2,5,0.20329670329670324
284,BP15,7,2,6,-0.008944543828264706
285,BP15,8,2,7,0.041578576462297345
286,BP15,9,3,0,0.1333333333333333
287,BP15,10,3,1,0.013725490196078494
288,BP15,11,3,2,0.1029411764705882
289,BP15,12,3,3,0.008620689655172376
290,BP15,13,3,4,0.13026819923371646
291,BP15,14,4,0,0.1785714285714286
292,BP15,15,4,1,0.17328042328042326
293,BP15,16,4,2,-0.051851851851851816
294,BP15,17,4,3,0.09999999999999998
295,BP15,18,4,4,-0.04285714285714293
296,BP15,19,4,5,-0.04761904761904756
297,BP15,20,4,6,0.09956709956709953
298,BP15,21,4,7,-0.0043290043290042934
299,BP15,22,4,8,-0.010025062656641603
300,BP15,23,4,9,0.05980861244019142
301,BP15,24,4,10,-0.045454545454545525
302,BP15,25,4,11,0.09090909090909094
303,BP15,26,4,12,-0.0625
304,BP15,27,4,13,-0.03273809523809523
305,BP16,1,2,0,0.05555555555555558
306,BP16,2,2,1,0.023391812865497075
307,BP16,3,2,2,0.12938596491228072
308,BP16,4,2,3,0.11309523809523803
309,BP16,5,2,4,-0.1635338345864661
310,BP16,6,2,5,0.03441295546558698
311,BP16,7,2,6,0.07692307692307698
312,BP16,8,2,7,0.0694789081885856
313,BP16,9,2,8,0.11000827129859381
314,BP16,10,3,0,0.3709677419354839
315,BP16,11,3,1,0.09199522102747903
316,BP16,12,3,2,0.03703703703703709
317,BP16,13,4,0,0.15384615384615385
318,BP16,14,4,1,0.2961538461538461
319,BP16,15,4,2,0.050000000000000044
320,BP16,16,4,3,0.0
321,BP16,17,4,4,-0.25806451612903225
322,BP16,18,4,5,0.21806451612903222
323,BP16,19,4,6,-0.12
324,BP19,1,2,0,0.30000000000000004
325,BP19,2,2,1,0.0
326,BP19,3,2,2,-0.22857142857142865
327,BP19,4,2,3,0.01680672268907568
328,BP19,5,2,4,0.21176470588235297
329,BP19,6,2,5,-0.022222222222222254
