Rat,Day,VTE_Percentage,Performance_Percentage
BP15,Day8,3.508771929824561,89.47368421052632
BP15,Day6,3.9473684210526314,80.26315789473685
BP15,Day1,46.15384615384615,69.23076923076923
BP15,Day27,0.0,86.95652173913044
BP15,Day20,4.395604395604396,81.31868131868131
BP15,Day16,2.4390243902439024,85.36585365853658
BP15,Day11,5.47945205479452,84.93150684931507
BP15,Day17,3.75,81.25
BP15,Day21,4.444444444444445,74.44444444444444
BP15,Day26,1.4084507042253522,90.14084507042254
BP15,Day19,6.666666666666667,73.33333333333333
TH508,Day38,0.0,86.66666666666667
TH508,Day36,2.898550724637681,78.26086956521739
TH508,Day37,1.9417475728155338,82.52427184466019
TH508,Day30,0.9523809523809524,75.23809523809524
TH508,Day4,11.76470588235294,89.41176470588236
TH508,Day3,9.333333333333334,89.33333333333333
TH508,Day5,4.0,77.0
TH508,Day23,6.363636363636363,75.45454545454545
TH508,Day24,9.482758620689655,83.62068965517241
TH508,Day12,6.097560975609756,78.04878048780488
TH508,Day15,4.3478260869565215,72.46376811594203
TH508,Day14,2.5974025974025974,75.32467532467533
TH508,Day13,4.62962962962963,71.29629629629629
TH508,Day25,2.1505376344086025,72.04301075268818
TH508,Day35,4.901960784313726,86.27450980392157
TH508,Day32,3.571428571428571,70.23809523809523
TH508,Day33,4.819277108433735,65.06024096385542
TH508,Day34,3.3333333333333335,80.0
TH508,Day7,7.936507936507936,76.19047619047619
TH508,Day9,13.114754098360656,75.40983606557377
TH508,Day8,7.894736842105263,86.8421052631579
TH508,Day6,6.153846153846154,89.23076923076924
TH508,Day1,12.962962962962962,64.81481481481481
TH508,Day27,9.25925925925926,59.25925925925925
TH508,Day18,7.142857142857142,78.57142857142857
TH508,Day20,6.382978723404255,76.59574468085107
TH508,Day16,5.555555555555555,84.72222222222221
TH508,Day11,8.571428571428571,92.85714285714286
TH508,Day10,29.78723404255319,82.97872340425532
TH508,Day17,3.296703296703297,69.23076923076923
TH508,Day21,7.228915662650602,68.67469879518072
TH508,Day19,2.0408163265306123,69.38775510204081
TH405,Day31,2.4096385542168677,84.33734939759037
TH405,Day4,13.88888888888889,55.55555555555556
TH405,Day2,24.444444444444443,64.44444444444444
TH405,Day23,2.3255813953488373,79.06976744186046
TH405,Day24,2.631578947368421,68.42105263157895
TH405,Day15,9.30232558139535,83.72093023255815
TH405,Day14,7.8125,89.0625
TH405,Day13,11.363636363636363,72.72727272727273
TH405,Day25,3.6585365853658534,81.70731707317073
TH405,Day22,1.5873015873015872,87.3015873015873
TH405,Day35,4.385964912280701,79.82456140350878
TH405,Day32,3.1746031746031744,74.60317460317461
TH405,Day33,1.2987012987012987,83.11688311688312
TH405,Day34,0.7874015748031495,88.18897637795276
TH405,Day7,6.349206349206349,96.82539682539682
TH405,Day9,13.333333333333334,77.33333333333333
TH405,Day6,8.571428571428571,97.14285714285714
TH405,Day1,43.75,56.25
TH405,Day27,1.3888888888888888,80.55555555555556
TH405,Day18,2.3255813953488373,70.93023255813954
TH405,Day20,4.761904761904762,87.3015873015873
TH405,Day29,4.310344827586207,80.17241379310344
TH405,Day11,4.838709677419355,87.09677419354838
TH405,Day17,7.608695652173914,70.65217391304348
TH405,Day28,3.896103896103896,81.81818181818183
TH405,Day21,0.0,64.28571428571429
TH405,Day26,7.142857142857142,77.14285714285715
TH405,Day19,0.8547008547008548,75.21367521367522
TH608,Day31,1.834862385321101,81.65137614678899
TH608,Day30,1.8181818181818181,85.45454545454545
TH608,Day4,6.896551724137931,62.06896551724138
TH608,Day5,7.2727272727272725,78.18181818181819
TH608,Day23,4.444444444444445,83.33333333333334
TH608,Day24,1.639344262295082,75.40983606557377
TH608,Day12,9.836065573770492,83.60655737704919
TH608,Day14,1.8867924528301887,86.79245283018868
TH608,Day13,1.4285714285714286,90.0
TH608,Day25,4.385964912280701,80.7017543859649
TH608,Day22,4.444444444444445,74.44444444444444
TH608,Day32,0.0,78.125
TH608,Day33,1.3513513513513513,78.37837837837837
TH608,Day7,2.7027027027027026,75.67567567567568
TH608,Day9,7.017543859649122,87.71929824561403
TH608,Day8,5.405405405405405,75.67567567567568
TH608,Day6,5.084745762711865,77.96610169491525
TH608,Day1,16.129032258064516,87.09677419354838
TH608,Day27,4.054054054054054,79.72972972972973
TH608,Day20,5.128205128205128,79.48717948717949
TH608,Day16,6.451612903225806,69.35483870967742
TH608,Day29,5.617977528089887,85.39325842696628
TH608,Day11,2.941176470588235,79.41176470588235
TH608,Day10,1.3333333333333335,77.33333333333333
TH608,Day17,7.792207792207792,72.72727272727273
TH608,Day28,1.8867924528301887,80.18867924528303
BP21,Day38,4.081632653061225,91.83673469387756
BP21,Day31,2.127659574468085,91.48936170212765
BP21,Day36,0.0,80.0
BP21,Day53,0.0,97.5
BP21,Day37,3.8461538461538463,82.6923076923077
