ID,Day,Choice,Correct,Trial_Type,IdPhi,Length,zIdPhi,VTE,rat,introduction_day,phase,Unnamed: 0,X Values,Y Values,Trial Type
TH405_Day1_50,,B,True,5,23.42023787791056,1.1051333333339244,0.3565850944221999,False,TH405,Testing,testing,49.0,"[116.5007344563802, 118.06035563151042, 119.40102132161458, 120.57851155598958, 121.65411783854168, 122.77879842122395, 124.11253458658855, 125.34294840494792, 126.64874674479168, 127.95148518880208, 129.18015950520834, 130.30084228515625, 131.26705932617188, 132.1547098795573, 132.9246378580729, 133.6629414876302, 134.35769653320312, 135.19714762369793, 135.9923075358073, 136.99164428710938, 138.10531412760417, 139.29266357421875, 140.61573689778646, 141.87279866536457, 143.0775370279948, 144.17618815104169, 145.25370279947919, 146.41294962565104, 147.5329121907552, 148.6301249186198, 149.68511555989582, 150.70513102213542]","[84.64564514160156, 85.73287658691406, 86.92668151855469, 88.23001607259116, 89.6378184000651, 91.05672607421874, 92.49935099283854, 93.67561848958334, 94.60234985351562, 95.31021423339844, 95.89601033528646, 96.43106689453126, 96.90837605794272, 97.43574625651041, 98.05838521321616, 98.73395589192708, 99.41510009765626, 100.00542602539062, 100.40893351236979, 100.74390360514323, 100.97032165527344, 101.12667948404948, 101.18619791666666, 101.10431620279948, 100.89945271809896, 100.5158955891927, 100.17410990397134, 99.9656992594401, 100.00503336588541, 100.3294179280599, 100.92409057617188, 101.75390116373697]",5.0
TH405_Day1_54,,B,True,5,23.314832565714973,1.0348666666668578,0.3518948749289042,False,TH405,Testing,testing,53.0,"[115.5608642578125, 117.07686767578124, 118.780322265625, 120.6254618326823, 122.6340596516927, 124.42693481445312, 126.21031087239582, 127.85628255208333, 129.44925944010419, 130.8945048014323, 132.0686767578125, 133.17505289713543, 134.2222188313802, 135.69017537434894, 137.12933553059895, 138.508984375, 139.96101888020831, 141.41849772135419, 142.82412719726562, 143.94129638671876, 145.13150634765626, 146.29122517903645, 147.3765380859375, 148.3775858561198, 149.27310587565105, 149.98971354166667, 150.6654825846354, 151.4149658203125, 152.17391560872395]","[85.83421122233072, 87.02668965657553, 88.24605712890626, 89.56549886067708, 90.91862284342447, 92.15591023763021, 93.4075714111328, 94.6941914876302, 95.9821553548177, 97.02586771647134, 97.680126953125, 98.1203125, 98.43800150553385, 98.86875813802084, 99.21473185221353, 99.42617492675781, 99.5309326171875, 99.57196553548178, 99.51283467610678, 99.14535929361979, 98.60623982747396, 97.96598714192709, 97.32991231282553, 96.59630839029947, 95.93362935384116, 95.3387705485026, 94.88506774902343, 94.68667602539062, 94.72208557128906]",5.0
TH405_Day1_58,,B,True,5,21.845323214105846,1.1053666666666686,0.2865061268389772,False,TH405,Testing,testing,57.0,"[116.9103047688802, 118.13431803385417, 119.47425537109375, 120.97398885091145, 122.6849385579427, 124.24751383463543, 125.56002604166667, 126.72987874348958, 127.91402994791667, 129.16060994466145, 130.41299438476562, 131.70447387695313, 133.14891967773437, 134.57295939127604, 135.97817789713542, 137.437451171875, 138.72772216796875, 139.9675272623698, 141.0729756673177, 142.16273803710936, 143.19606526692706, 144.1189453125, 145.03883870442706, 145.8380900065104, 146.55255533854168, 147.26328531901044, 147.94566446940104, 148.5703369140625, 149.13997395833331, 149.78245035807294, 150.49522705078124, 151.31502685546874]","[85.08034261067709, 86.37854614257813, 87.56983337402343, 88.7946014404297, 90.02366027832032, 91.21063639322917, 92.40926005045573, 93.6421122233073, 94.83970845540365, 95.98971048990884, 96.89305826822917, 97.56938985188802, 98.00055541992188, 98.20123087565104, 98.38963419596354, 98.57765197753906, 98.89266459147134, 99.33984171549479, 99.9018300374349, 100.61600138346354, 101.27002156575521, 101.71051025390626, 101.84602864583334, 101.65898030598959, 101.27453002929687, 100.68755289713542, 99.97574055989584, 99.2465047200521, 98.62073872884115, 98.24549255371093, 98.17256469726563, 98.44033203125]",5.0
TH405_Day1_65,,B,True,5,11.500535999998093,0.9299000000000888,-0.1738058027492829,False,TH405,Testing,testing,64.0,"[118.54818725585938, 120.11699625651042, 121.46932779947917, 122.79854939778645, 124.22467041015625, 125.67928059895833, 127.147314453125, 128.69598592122395, 130.47082926432293, 132.35088907877605, 134.01878662109374, 135.3489725748698, 136.56577555338544, 137.8528564453125, 139.08204549153646, 140.2969462076823, 141.5283426920573, 142.81869710286458, 144.1831278483073, 145.41431477864583, 146.42935587565105, 147.17733154296874, 147.97192993164063, 148.71068115234374, 149.35689697265624, 150.02525431315104, 150.8519022623698]","[84.37816772460937, 85.58501281738282, 86.8578826904297, 88.41206359863281, 90.025341796875, 91.4417714436849, 92.5998758951823, 93.57166951497396, 94.5034189860026, 95.32870686848959, 96.09801025390627, 96.89695231119792, 97.85167134602867, 98.96169942220052, 100.1241444905599, 101.15701599121094, 101.9846201578776, 102.62907613118489, 103.125927734375, 103.4701171875, 103.58416544596355, 103.60523071289063, 103.65256754557292, 103.73542073567708, 103.81403401692708, 103.96335856119792, 104.29813435872396]",5.0
TH405_Day1_73,,B,True,5,22.33590604772821,1.035133333333761,0.3083355880056237,False,TH405,Testing,testing,72.0,"[117.54721069335938, 118.8777852376302, 120.3312764485677, 122.03771158854167, 123.76564331054688, 125.32940470377605, 126.63294474283855, 127.8598897298177, 129.01204833984374, 130.15145874023438, 131.26744791666667, 132.55257771809895, 134.0165303548177, 135.62473958333334, 137.17304077148438, 138.45974934895833, 139.5849609375, 140.50087076822916, 141.38662109375, 142.14187418619792, 143.01534627278645, 143.91053263346356, 144.78013509114584, 145.60979817708332, 146.35836588541667, 147.0532206217448, 147.82650349934895, 148.72103068033854, 149.81896362304687, 151.00165405273438]","[84.55450439453125, 85.88277994791666, 87.03448791503907, 88.33737386067709, 89.60531514485677, 90.91126098632813, 92.26497497558594, 93.70350240071615, 95.30227559407552, 96.70955810546874, 97.8573018391927, 98.7419209798177, 99.47958068847656, 100.1272450764974, 100.61367797851562, 101.07132059733073, 101.53701578776041, 102.01230061848959, 102.43118489583333, 102.72395324707031, 102.76595357259114, 102.52577718098958, 102.16477864583334, 101.75479431152344, 101.34598592122396, 100.92827758789062, 100.71191813151042, 100.69819844563803, 101.03685811360677, 101.65426635742188]",5.0
TH405_Day1_79,,B,True,5,8.927636030392282,0.8242333333332681,-0.2882921160135792,False,TH405,Testing,testing,78.0,"[116.99371134440105, 118.65317789713542, 120.27577311197918, 121.73285522460938, 123.03839314778645, 124.42696329752604, 125.77147420247395, 127.25563151041668, 128.80921223958333, 130.38018188476562, 131.92543538411456, 133.47568359375, 135.06797485351564, 136.61683553059896, 137.98565470377605, 139.38999430338544, 140.7984375, 142.08418782552081, 143.4806172688802, 144.82132771809896, 146.23782958984376, 147.64393920898436, 149.108447265625, 150.5966552734375]","[85.69232889811198, 86.92914632161458, 88.1587412516276, 89.32340596516927, 90.56831563313803, 91.89813842773438, 93.24003295898437, 94.4296885172526, 95.35840352376303, 96.04718119303385, 96.55709737141927, 96.98015848795572, 97.35995279947916, 97.74917805989584, 98.29838053385416, 99.02331034342447, 99.8664560953776, 100.81420288085937, 101.71864827473959, 102.42740071614583, 102.95348103841145, 103.32870483398438, 103.60495198567708, 103.7640889485677]",5.0
TH405_Day1_83,,B,True,5,11.728518930932028,0.8944666666666308,-0.1636612477498074,False,TH405,Testing,testing,82.0,"[118.49630940755208, 119.85953369140626, 121.08472900390625, 122.2302490234375, 123.56834309895832, 124.8886698404948, 126.31293538411458, 127.8324686686198, 129.5504414876302, 131.23341674804686, 132.6315470377604, 133.74286702473958, 134.86063435872396, 136.2037333170573, 137.5245808919271, 138.9492207845052, 140.36892700195312, 141.85386555989584, 143.20479736328124, 144.4055603027344, 145.5008565266927, 146.57867431640625, 147.6543192545573, 148.6475036621094, 149.68148396809895, 150.7681620279948]","[83.98383382161458, 85.14722595214843, 86.31763610839843, 87.74688110351562, 89.33619283040365, 90.95572408040366, 92.45506591796875, 93.8452870686849, 95.1546152750651, 96.30293680826823, 97.21200866699219, 97.92946370442709, 98.58024393717447, 99.20510762532552, 99.83634033203126, 100.34554138183594, 100.7831776936849, 101.1192108154297, 101.47615763346354, 101.8816162109375, 102.28684895833334, 102.7968241373698, 103.3559590657552, 104.07008565266926, 104.89147338867187, 105.78017578125]",5.0
TH405_Day1_88,,B,True,5,10.566887142401187,0.8994666666662852,-0.2153503699117863,False,TH405,Testing,testing,87.0,"[117.1415995279948, 118.76558024088543, 120.37434488932293, 121.87135009765625, 123.33946940104167, 124.77791341145833, 126.30847574869793, 127.78535563151043, 129.16000569661458, 130.46571858723956, 131.5262023925781, 132.51919962565105, 133.33039143880208, 134.22628377278645, 135.11507975260417, 136.0995361328125, 137.30349934895833, 138.60730590820313, 140.14268595377604, 141.64852498372395, 143.17845255533854, 144.63295288085936, 145.9672403971354, 147.34881998697918, 148.6526387532552, 150.06471761067706]","[85.88003641764323, 87.25581258138021, 88.63126118977866, 89.95206197102866, 91.3478769938151, 92.72830301920573, 94.02756042480469, 94.98610534667968, 95.63302408854166, 96.10465291341146, 96.4789042154948, 96.92588907877604, 97.46372884114584, 98.2002451578776, 99.05215759277344, 100.00814717610677, 100.92091776529948, 101.67480672200521, 102.25520222981771, 102.62374877929688, 102.84770202636719, 102.94574890136718, 103.04517822265625, 103.19363403320312, 103.40831502278645, 103.7805196126302]",5.0
TH405_Day1_94,,B,True,5,8.623371141784935,0.8654666666666344,-0.3018309887890193,False,TH405,Testing,testing,93.0,"[115.22795003255207, 116.96971435546875, 118.76387736002604, 120.53909301757812, 122.0451151529948, 123.44881388346354, 124.7299336751302, 126.2226582845052, 127.66186930338543, 129.01748046875, 130.36786295572918, 131.5575724283854, 132.69977213541668, 133.88086954752606, 135.0677469889323, 136.40752360026042, 137.80064290364584, 139.33997192382813, 140.90970458984376, 142.48825276692708, 144.1265848795573, 145.7903076171875, 147.4539286295573, 149.10944010416668, 150.78096516927081]","[85.776806640625, 86.81758829752604, 87.98511454264323, 89.07835591634115, 90.16575419108072, 91.3292958577474, 92.58897603352867, 93.86966145833334, 94.84842732747396, 95.58600565592448, 96.07100016276041, 96.39463500976562, 96.64707845052084, 96.91423543294272, 97.34263712565104, 97.97103576660156, 98.67222493489584, 99.4369883219401, 100.18555297851563, 100.81854451497396, 101.43123270670573, 101.9111572265625, 102.39554850260416, 102.90187276204426, 103.3598124186198]",5.0
TH405_Day1_99,,B,True,5,6.946580726510448,0.8651333333327784,-0.3764431210248075,False,TH405,Testing,testing,98.0,"[116.8234130859375, 118.43502400716145, 120.1654764811198, 121.822265625, 123.1713602701823, 124.4989034016927, 125.71363525390625, 127.05259399414062, 128.288623046875, 129.5693827311198, 130.90037841796874, 132.12488403320313, 133.48616536458331, 134.82923380533856, 136.2542215983073, 137.57056477864583, 138.9209981282552, 140.32443237304688, 141.6410420735677, 143.03090006510416, 144.36106363932294, 145.838818359375, 147.2939880371094, 148.72727457682294, 150.22360432942708]","[84.59515889485678, 85.62827962239584, 86.75232442220053, 87.91685384114584, 89.1340047200521, 90.4006846110026, 91.79423116048177, 93.09483540852867, 94.12525838216146, 94.80903727213541, 95.21197611490885, 95.57363688151041, 95.95329895019532, 96.46064249674478, 97.2068369547526, 98.1487314860026, 99.22455342610678, 100.26557108561198, 101.2479268391927, 102.04224955240885, 102.57167358398438, 103.00633544921875, 103.38984375, 103.8421651204427, 104.29234415690105]",5.0
TH405_Day1_109,,B,True,5,8.00885526741587,0.7947000000003754,-0.3291750976661625,False,TH405,Testing,testing,108.0,"[118.30153198242188, 119.95240478515625, 121.5076192220052, 122.95236002604167, 124.46021118164063, 125.9052714029948, 127.40374755859375, 128.8762654622396, 130.38400268554688, 131.97323811848958, 133.63638712565105, 135.26087036132813, 136.7796407063802, 138.15035400390624, 139.39706217447917, 140.7458048502604, 142.0510965983073, 143.5060038248698, 144.98314819335937, 146.48202514648438, 147.99864095052084, 149.43846435546874, 150.86387329101564]","[84.35757954915366, 85.62823384602866, 87.11016235351562, 88.8189656575521, 90.62916158040365, 92.3892598470052, 93.83231506347656, 94.89067789713542, 95.66699625651042, 96.2794423421224, 96.84979146321615, 97.47396952311198, 98.22398478190104, 99.1571044921875, 100.2235850016276, 101.42757364908854, 102.57480061848958, 103.53880615234375, 104.2135996500651, 104.6475077311198, 104.91239013671876, 105.1012959798177, 105.32466634114583]",5.0
TH405_Day1_113,,B,True,5,16.6890186064212,0.930466666666689,0.0570660741454551,False,TH405,Testing,testing,112.0,"[117.27500610351562, 118.73284708658855, 120.34363403320313, 121.95577189127604, 123.4250508626302, 124.6087666829427, 125.7485331217448, 126.89976196289062, 128.11113891601562, 129.23349202473958, 130.3002176920573, 131.4108459472656, 132.5756571451823, 133.92723185221354, 135.40569254557292, 136.94449666341146, 138.44025472005208, 139.97405802408855, 141.47139485677081, 142.85632731119793, 144.041015625, 145.16602376302083, 146.26960042317708, 147.36446533203124, 148.4869832356771, 149.58880411783855, 150.83876546223956]","[86.00408223470052, 87.07349853515626, 88.22034403483073, 89.439111328125, 90.64947916666667, 91.86663818359374, 93.12902425130207, 94.47208251953126, 95.76576232910156, 96.80299784342448, 97.64566040039062, 98.3220225016276, 98.94619649251302, 99.4769765218099, 99.9661356608073, 100.50552775065104, 101.0529500325521, 101.68339335123697, 102.28124694824218, 102.79890543619793, 103.09832967122395, 103.11913655598957, 102.933935546875, 102.64677327473957, 102.3659403483073, 102.1731923421224, 102.2555674235026]",5.0
TH405_Day1_118,,B,True,5,17.31509421592095,0.8997333333327333,0.0849245564817526,False,TH405,Testing,testing,117.0,"[117.69880981445313, 119.26741739908854, 120.65414225260417, 121.8841084798177, 123.0793233235677, 124.41065266927083, 125.71865641276042, 127.0671122233073, 128.36564127604169, 129.56914469401042, 130.69992268880208, 131.72500610351562, 132.64309488932292, 133.63805135091144, 134.69468180338544, 136.05912272135419, 137.56704711914062, 139.1864766438802, 140.82850138346356, 142.36614786783855, 143.94256795247395, 145.32539876302081, 146.7882873535156, 148.1529052734375, 149.57791137695312, 150.95472412109376]","[85.38774820963542, 86.81024068196615, 88.24668375651041, 89.70507609049479, 91.13392842610678, 92.63226318359374, 93.87142944335938, 94.69792989095052, 95.30327657063802, 95.78213806152344, 96.2745849609375, 96.75449625651041, 97.35841064453125, 98.20560099283854, 99.09344889322917, 100.0141103108724, 100.91366984049479, 101.62916158040365, 102.03355000813802, 102.14001261393229, 102.14605000813802, 102.04547627766928, 101.91864827473958, 101.91589762369793, 102.1510965983073, 102.57661743164063]",5.0
TH405_Day1_14,,A,True,6,9.811668731945714,1.1702000000000226,-0.1919971785292135,False,TH405,Testing,testing,13.0,"[116.64122721354167, 118.1334452311198, 119.60867309570312, 121.07898966471355, 122.50875244140624, 124.05414225260418, 125.4571533203125, 126.52662353515625, 127.24490152994792, 127.8278584798177, 128.3049825032552, 128.7321044921875, 129.2151631673177, 129.79258219401044, 130.48956502278645, 131.29417724609374, 132.1422342936198, 132.9741984049479, 133.89029947916669, 134.79615071614583, 135.71248982747395, 136.5568135579427, 137.38941040039063, 138.23008219401044, 139.00233154296876, 139.87700602213542, 140.72796223958332, 141.5680399576823, 142.34195556640626, 142.96510009765626, 143.37247111002605, 143.60150146484375, 143.83097330729169, 144.15716552734375]","[84.02994689941406, 85.60553588867188, 86.98702392578124, 88.21501159667967, 89.32928873697917, 90.37519938151041, 91.35354207356771, 92.27281188964844, 93.1331553141276, 94.00132446289062, 94.91155497233072, 95.89936218261718, 96.8374257405599, 97.73746643066406, 98.7397186279297, 99.73092447916666, 100.64485575358073, 101.39813842773438, 102.29347025553385, 103.31006571451823, 104.39301859537761, 105.58110758463542, 107.02706909179688, 108.69849650065105, 110.4251688639323, 112.21654663085937, 113.86747436523437, 115.3595926920573, 116.56861979166668, 117.49120686848957, 118.07799275716145, 118.34771525065105, 118.53966674804687, 118.80413208007812]",6.0
TH405_Day1_17,,E,False,6,6.365978551898998,1.1397999999996955,-0.8860695539121138,False,TH405,Testing,testing,16.0,"[116.61126098632812, 117.86651000976562, 119.17363891601562, 120.54197591145832, 121.70928955078125, 122.6847412109375, 123.63912963867188, 124.6775899251302, 125.7195576985677, 126.62037353515625, 127.5757588704427, 128.55518798828126, 129.41908569335936, 130.1929951985677, 130.8873718261719, 131.59002482096355, 132.0770487467448, 132.39724731445312, 132.6208964029948, 132.82444254557294, 133.02296956380206, 133.20312906901043, 133.56481323242187, 134.2739685058594, 135.21829630533855, 136.45874837239583, 137.91173909505207, 139.49390869140626, 141.03839721679688, 142.3286356608073, 143.38257649739583, 144.08883666992188, 144.58724161783854]","[86.02893575032553, 87.13113403320312, 88.37152404785157, 89.5941151936849, 90.74545186360677, 91.76703694661458, 92.77026977539063, 93.7725860595703, 94.63887532552084, 95.32373758951823, 95.94787394205727, 96.55525614420573, 97.1644073486328, 97.77409159342447, 98.35532735188802, 98.95198364257813, 99.57036437988282, 100.22457275390626, 100.89256693522134, 101.58909403483072, 102.35061645507812, 103.30495198567708, 104.48920593261718, 105.95821940104167, 107.64806315104167, 109.38277180989583, 110.95734252929688, 112.31184692382813, 113.49111735026042, 114.62261962890625, 115.64342041015625, 116.71450602213542, 117.97623494466146]",6.0
TH405_Day1_25,,A,True,6,8.629546081909897,1.034866666666403,-0.2835504722566543,False,TH405,Testing,testing,24.0,"[116.5122049967448, 117.81468709309895, 119.1720682779948, 120.6702392578125, 121.99397583007813, 123.13626708984376, 124.05676879882813, 124.98397216796874, 125.79861450195312, 126.52806396484375, 127.2682108561198, 128.05491943359374, 128.84055786132814, 129.55826822916669, 130.30535278320312, 130.92692057291669, 131.48232421875, 132.0484639485677, 132.67837320963542, 133.3972900390625, 134.24484049479167, 135.28859252929686, 136.48306070963542, 137.7216288248698, 138.89328206380208, 140.00292358398437, 141.06490681966145, 141.92112833658854, 142.54376831054688, 142.9832295735677]","[85.66348063151041, 86.76336975097657, 87.75871988932292, 88.73650410970052, 89.66026611328125, 90.55782979329427, 91.49595743815104, 92.48915100097656, 93.55284220377604, 94.53608805338541, 95.5419932047526, 96.5305409749349, 97.57469991048177, 98.70436299641928, 99.83834737141927, 100.91761474609373, 101.76918029785156, 102.62037455240886, 103.43281555175781, 104.30746154785156, 105.36313069661458, 106.60586547851562, 108.13494669596355, 109.73293050130208, 111.33357950846354, 112.9534647623698, 114.63192749023438, 116.34774576822917, 117.90035807291667, 119.3969502766927]",6.0
TH405_Day1_31,,A,True,6,3.5408540759360316,0.969400000000178,-0.6776606044813347,False,TH405,Testing,testing,30.0,"[116.92603149414063, 118.33080444335937, 119.74539998372396, 121.12975667317707, 122.2101338704427, 123.07393595377604, 123.82559407552083, 124.59798177083333, 125.44320678710938, 126.1653828938802, 126.90350748697918, 127.75885213216145, 128.6412333170573, 129.60732828776042, 130.49488525390626, 131.3591796875, 132.14036865234374, 132.65282185872394, 133.0168233235677, 133.3715596516927, 133.83546142578126, 134.52312825520832, 135.46353149414062, 136.8058614095052, 138.39623209635417, 139.99269002278646, 141.36202799479167, 142.4236836751302]","[85.23364054361979, 86.42056172688802, 87.7021230061849, 89.05964864095053, 90.36210530598959, 91.61056416829427, 92.84009806315103, 94.09798787434896, 95.24791463216147, 96.24419657389322, 97.08719685872396, 97.85842692057291, 98.54671325683594, 99.15185343424479, 99.82928059895833, 100.49906717936197, 101.24375712076822, 102.11086934407552, 103.15899353027343, 104.50962320963542, 105.98654174804688, 107.70743001302083, 109.61440836588542, 111.49231363932293, 113.45398356119793, 115.32530110677082, 117.15564778645833, 118.79302775065105]",6.0
TH405_Day1_35,,A,True,6,6.163421147344557,0.9298666666666122,-0.4745474559418798,False,TH405,Testing,testing,34.0,"[117.0841288248698, 118.2769510904948, 119.5258524576823, 120.98814086914062, 122.24829711914063, 123.35109049479168, 124.41409098307292, 125.42427164713543, 126.51943359375, 127.5640401204427, 128.6111104329427, 129.6833048502604, 130.62513631184896, 131.56586303710938, 132.38956502278646, 133.08633829752605, 133.91025797526044, 134.77987874348958, 135.6761494954427, 136.6016866048177, 137.55493977864583, 138.5475646972656, 139.47400309244793, 140.49853922526043, 141.49819742838542, 142.46066284179688, 143.32021891276042]","[84.1499989827474, 85.30666707356771, 86.4959218343099, 87.83653666178385, 89.16283874511718, 90.5262196858724, 91.97065734863281, 93.335986328125, 94.59137268066407, 95.57801615397133, 96.35155843098958, 96.96743469238281, 97.46688130696614, 97.98701883951823, 98.57440287272134, 99.41670939127604, 100.62604370117188, 102.1345001220703, 103.86384785970051, 105.80070292154949, 107.83092854817707, 109.8356669108073, 111.59889119466145, 113.18893229166667, 114.7065409342448, 116.24444783528645, 117.8718037923177]",6.0
TH405_Day1_42,,A,True,6,10.232315645185835,0.930833333333112,-0.1594188243269255,False,TH405,Testing,testing,41.0,"[116.62684733072918, 118.16917317708332, 119.71790568033855, 121.08672485351562, 122.28978271484375, 123.48524983723958, 124.73832194010417, 125.97280883789062, 127.15374145507812, 128.34784545898438, 129.50823364257812, 130.54985758463542, 131.33797810872395, 132.04254760742188, 132.5976806640625, 133.14440104166667, 133.85350952148437, 134.68225708007813, 135.59124145507812, 136.53945719401042, 137.61532592773438, 138.68922526041666, 139.6850606282552, 140.6351542154948, 141.60634358723956, 142.4273681640625, 142.91322224934896]","[85.14624328613282, 86.19609069824219, 87.30123392740884, 88.37730611165365, 89.54203287760416, 90.8358632405599, 92.18440551757813, 93.44324951171875, 94.50179951985677, 95.35537516276041, 96.06796162923177, 96.74478963216146, 97.50248209635416, 98.38642578125, 99.52034810384114, 100.91564229329427, 102.58822123209636, 104.41608174641927, 106.16791280110677, 107.95147705078125, 109.70301513671875, 111.35653279622395, 112.90528361002605, 114.42122192382813, 116.08677978515625, 117.69866333007812, 119.3004170735677]",6.0
